StartTimestamp,EndTimestamp,AnomalyType,MaintenanceNotes,Observations
2023-03-14 21:00:00,2023-03-16 01:00:00,TubingBlockage,Flagged progressive blockage; isolating affected zone for inspection.,Pressure vs. flow curve shows narrowing characteristic of internal restriction. Flow resistance profile deviating from standard. (check reqd)
2023-01-01 06:00:00,2023-01-03 20:00:00,TubingBlockage,Injected wax inhibitor following signs of progressive tubing restriction.,"Backpressure increased slowly over ~36h, flow decline measured at 14%. Blockage suspected mid-string based on differential build-up. (check reqd)"
2023-01-04 05:00:00,2023-01-06 14:00:00,TubingBlockage,Scheduled temperature-assisted treatment to mitigate suspected paraffin accumulation.,No abrupt behavior. Downstream pressure stable while tubing pressure trends upward-could be scale formation along the inner walls. (check reqd)
2023-03-11 06:00:00,2023-03-13 13:00:00,TubingBlockage,Scheduled hot oil circulation due to backpressure buildup.,Cooling differential and viscosity profile indicate paraffin deposition rather than inorganic scale. (check reqd)
2023-05-12 06:00:00,2023-05-14 15:00:00,ChokeErosion,Surging rates attributed to progressive choke degradation.,Rate trend shows sharp but periodic recoveries-symptom of fluctuating orifice shape due to erosion. (check reqd)
2023-03-08 01:00:00,2023-03-10 04:00:00,ChokeErosion,Preventative choke maintenance rescheduled ahead of timeline.,Delta-P spike observed at choke inlet suggests edge deformation. Partial restriction forming downstream. (check reqd)
2023-01-13 09:00:00,2023-01-16 22:00:00,ChokeErosion,Line vibration near choke prompted early shutdown for swap.,Post-op inspection revealed grooving on the choke wall-caused by high-velocity sand impact. (check reqd)
2023-01-06 21:00:00,2023-01-09 06:00:00,LiquidLoading,Observations indicate fluid fallback; adjusted lift parameters accordingly.,Flow instability pairs with rising hydrostatic pressure. Plunger lift advised before drawdown worsens. (check reqd)
2023-03-18 22:00:00,2023-03-20 17:00:00,LiquidLoading,Manually unloaded well following unsuccessful chemical lift.,Tracer analysis shows poor fluid evacuation efficiency in tubing lower section. (check reqd)
2023-04-29 17:00:00,2023-05-01 09:00:00,LiquidLoading,Revised choke settings to mitigate tubing pressure rise due to loading.,Retro-analysis of GWR indicates gradual shift toward higher condensate ratios-consistent with loading. (check reqd)
2023-02-18 04:00:00,2023-02-18 11:00:00,TubingCollapse,Prepared contingency plan for sectional tubing retrieval.,Integrity test aborted due to unresponsive pressure return. Suggests sudden structural disruption in tubing path. (check reqd)
2023-04-09 05:00:00,2023-04-09 17:00:00,TubingCollapse,Emergency shut-in executed following sudden flow drop. Suspect tubing collapse.,Post-event simulation indicates that pressure shock could have exceeded tubing yield strength under localized stress. (check reqd)
2023-01-17 20:00:00,2023-01-18 05:00:00,TubingCollapse,Pressure profile anomaly suggests mechanical tubing failure; inspection underway.,Wellhead response shows a back-pressure pulse followed by a complete flow drop-typical for buckling or collapse. (check reqd)
2023-01-29 02:00:00,2023-01-29 12:00:00,TubingCollapse,Caliper logging tool deployed to verify suspected deformation.,Telemetry flagged differential stress zones; prior maintenance records show thin-wall segment at failure depth. (check reqd)
2023-04-10 01:00:00,2023-04-10 11:00:00,TubingCollapse,Field team dispatched for downhole diagnostics. Tubing breach likely.,Flow rate fell to zero within 30 minutes. Corresponding upstream pressure increased rapidly-signaling restriction or collapse. (check reqd)
2023-03-31 10:00:00,2023-03-31 15:00:00,OverHeating,Lubricant level corrected after rising temp noted at gearbox.,Fan differential pressure unexpectedly flat. Heat exchanger performance 30% below nominal. (check reqd)
2023-01-22 07:00:00,2023-01-22 17:00:00,OverHeating,Electrical cabinet vent clogged-heat dissipation compromised.,Current/load curve deviated ~90 mins before trip. Suggest early bearing wear due to alignment issue. (check reqd)
2023-05-29 03:00:00,2023-05-29 09:00:00,OverHeating,ESP inspection reveals bearing discoloration; suspect overheat stress.,Upstream valve shows delayed actuation-may have created fluid stagnation leading to heat rise. (check reqd)
2023-04-26 11:00:00,2023-04-27 09:00:00,SandProduction,Flow instability traced to sand breakthrough. Adjusted drawdown.,Chemical profile shows rising silica levels-matches prior high-sand event from adjacent lateral. (check reqd)
2023-06-29 08:00:00,2023-06-29 20:00:00,SandProduction,Activated backup separator due to screen clogging.,Erosion telemetry logged rapid wear progression-likely correlated to solids ingress during drawdown ramp. (check reqd)
2023-01-23 11:00:00,2023-01-24 11:00:00,SandProduction,Notified reservoir team; formation stability in question.,Wellhead vibration trending beyond 1.8x nominal amplitude-common during sanding events. (check reqd)
